koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,label,kepid,split,split_label
FALSE POSITIVE,2.172042913,131.764641,2454964.765,0,0.881,8.0331,154380.0,0.0373,71.68,583.6,1,0.9043,006/006852/006852488/dv/kplr006852488-20160209194854_dvr.pdf,7128,4.105,1.775,1.461,,13.908,0,6852488,train,0
FALSE POSITIVE,204.0329342,253.536626,2455086.537,0,0.49,17.5623,411370.0,0.654,89.8,884.9,1,-1.0,002/002307/002307206/dv/kplr002307206-20160209194854_dvr.pdf,5553,4.577,0.806,0.903,,15.734,0,2307206,train,0
CANDIDATE,17.50441726,135.74731,2454968.747,0,0.006,4.2585,725.4,0.1289,89.99,47.5,1,0.3766,003/003648/003648437/dv/kplr003648437-20160209194854_dvr.pdf,5815,4.16,1.329,0.933,,13.926,1,3648437,train,1
FALSE POSITIVE,3.60727417,133.77548,2454966.775,0,0.463,14.0841,841900.0,0.051,83.8,710.9,1,-1.0,008/008153/008153568/dv/kplr008153568-20160209194854_dvr.pdf,7026,4.068,1.785,1.36,,15.076,0,8153568,train,0
CANDIDATE,453.54212,360.0617,2455193.062,0,0.633,17.026,861.0,1.3292,89.78,48.8,2,0.4186,003/003634/003634051/dv/kplr003634051-20160209194854_dvr.pdf,5874,3.664,3.006,1.519,,13.436,1,3634051,train,1
FALSE POSITIVE,15.28870918,132.8060911,2454965.806,0,0.372,5.00366,512470.0,0.1077,89.45,1758.7,1,-1.0,004/004678/004678171/dv/kplr004678171-20160209194854_dvr.pdf,4464,4.577,0.719,0.711,,15.993,0,4678171,train,0
CANDIDATE,4.0953585,135.7884,2454968.788,0,1.0194,44.35,226.8,0.0548,10.89,60.2,1,,010/010670/010670112/dv/kplr010670112-20141002224145_dvr.pdf,6839,4.094,1.7,1.313,,13.543,1,10670112,train,1
FALSE POSITIVE,49.61275752,165.9984372,2454998.998,0,0.929,7.07603,130460.0,0.2723,89.16,2070.3,1,0.0843,004/004164/004164393/dv/kplr004164393-20160209194854_dvr.pdf,6241,4.45,1.031,1.088,,15.217,0,4164393,train,0
FALSE POSITIVE,4.726086185,132.9230889,2454965.923,0,0.651,4.39793,181820.0,0.0544,86.48,1564.3,1,0.0198,004/004947/004947726/dv/kplr004947726-20160209194854_dvr.pdf,5873,4.547,0.863,0.954,,15.181,0,4947726,train,0
CANDIDATE,53.44944498,149.20185,2454982.202,0,0.092,5.3091,3437.0,0.2881,89.93,119.5,1,0.1809,005/005184/005184584/dv/kplr005184584-20160209194854_dvr.pdf,5919,4.485,1.0,1.114,,15.287,1,5184584,train,1
FALSE POSITIVE,1.815632406,131.9113803,2454964.911,0,1.04,3.35773,61574.0,0.0395,75.41,1413.9,1,0.0,006/006363/006363494/dv/kplr006363494-20160209194854_dvr.pdf,9954,4.07,2.408,2.485,,14.42,0,6363494,train,0
