# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,
# Sat Oct  4 03:27:28 2025,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_time0bk:    Transit Epoch [BKJD],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_time0:      Transit Epoch [BJD],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_impact:     Impact Parameter,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_depth:      Transit Depth [ppm],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_sma:        Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_incl:       Inclination [deg],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_model_snr:  Transit Signal-to-Noise,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_count:      Number of Planets,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_bin_oedp_sig: Odd-Even Depth Comparision Statistic,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_datalink_dvr: Link to DV Report,,,,,,,,,,,,,,,,,,,,
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_smass:      Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_sage:       Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,,
# COLUMN koi_kepmag:     Kepler-band [mag],,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# This file contains 1000 candidates with clean signals (all FP flags = 0) and 1000 false positives, selected based on highest Signal-to-Noise Ratio,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag
5560831,FALSE POSITIVE,0.867721348,132.161646,2454965.162,0,0.987,4.8783,97653,0.0173,59.04,587.9,1,-1,005/005560/005560831/dv/kplr005560831-20160209194854_dvr.pdf,5510,4.186,1.276,0.911,,16.09
7899070,CANDIDATE,126.4451275,166.49998,2454999.5,0,0.046,16.7151,3252.5,0.4725,89.96,110.9,1,0.7811,007/007899/007899070/dv/kplr007899070-20160209194854_dvr.pdf,5613,4.581,0.795,0.888,,15.5
9656397,FALSE POSITIVE,204.7410476,202.871314,2455035.871,0,0.596,20.5357,333800,0.7287,89.7,2000.2,1,-1,009/009656/009656397/dv/kplr009656397-20160209194854_dvr.pdf,6517,4.211,1.44,1.234,,13.841
10166274,CANDIDATE,3.353732008,134.869597,2454967.87,0,0.051,1.4598,1264.7,0.034,89.84,47.8,3,0.5198,010/010166/010166274/dv/kplr010166274-20160209194854_dvr.pdf,3789,4.781,0.46,0.467,,15.438
7049486,FALSE POSITIVE,26.71841755,138.0518033,2454971.052,0,1.069,8.14155,72976,0.1682,87.6,2173.1,1,0.8346,007/007049/007049486/dv/kplr007049486-20160209194854_dvr.pdf,5957,4.168,1.286,0.888,,13.144
8445775,FALSE POSITIVE,13.25413407,136.3679147,2454969.368,0,1.051,4.34991,44980,0.1086,87.07,2281,1,0.9722,008/008445/008445775/dv/kplr008445775-20160209194854_dvr.pdf,6175,4.111,1.436,0.97,,13.876
9002278,CANDIDATE,122.3858681,150.41158,2454983.412,0,0.101,7.123,711.1,0.4324,89.96,46.3,5,0.5096,009/009002/009002278/dv/kplr009002278-20160209194854_dvr.pdf,4926,4.653,0.662,0.727,,13.725
8023317,FALSE POSITIVE,16.57902805,146.733098,2454979.733,0,0.745,7.803,37980,0.1368,87.19,813.6,1,0,008/008023/008023317/dv/kplr008023317-20160209194854_dvr.pdf,5870,3.808,2.3,1.239,,12.887
10418224,CANDIDATE,6.8731664,172.518826,2455005.519,0,0.055,6.8569,3753.8,0.0813,89.61,535.5,1,0.1615,010/010418/010418224/dv/kplr010418224-20160209194854_dvr.pdf,6490,3.942,2.179,1.516,,14.588
8296467,FALSE POSITIVE,10.303356,137.1682892,2454970.168,0,0.364,5.98633,520070,0.0854,89.05,2039.1,1,-1,008/008296/008296467/dv/kplr008296467-20160209194854_dvr.pdf,5497,4.423,0.9,0.782,,15.177
11805075,CANDIDATE,199.8392053,225.35896,2455058.359,0,0.811,4.378,44490,0.6632,89.86,590.6,1,0.0261,011/011805/011805075/dv/kplr011805075-20160209194854_dvr.pdf,5457,4.548,0.869,0.974,,14.74
4739194,FALSE POSITIVE,1.246585716,132.0206985,2454965.021,0,0.427,4.62051,406770,0.0241,82.79,2165.3,1,-1,004/004739/004739194/dv/kplr004739194-20160209194854_dvr.pdf,6440,4.369,1.183,1.194,,14.283
7970629,FALSE POSITIVE,1.025534511,132.4990072,2454965.499,0,0.883,3.52048,110950,0.0195,71.26,3769,1,0,007/007970/007970629/dv/kplr007970629-20160209194854_dvr.pdf,6267,4.487,0.919,0.946,,14.541
4638237,CANDIDATE,290.1401717,307.250618,2455140.251,0,0.935,2.1583,4836,0.8431,89.9,69.1,1,0.854,004/004638/004638237/dv/kplr004638237-20160209194854_dvr.pdf,5631,4.212,1.263,0.947,,13.906
8822216,CANDIDATE,6.996926239,175.914281,2455008.914,0,0.022,2.7374,1317.4,0.0719,89.94,101.6,2,0.2369,008/008822/008822216/dv/kplr008822216-20160209194854_dvr.pdf,5713,4.541,0.893,1.01,,14.807
12252424,CANDIDATE,8.925079516,139.71389,2454972.714,0,0.74,2.6766,977.5,0.0763,87.69,135.8,2,0.7416,012/012252/012252424/dv/kplr012252424-20160209194854_dvr.pdf,4728,4.628,0.693,0.768,,13.461
12314973,CANDIDATE,15.4130812,136.94324,2454969.943,0,0.372,6.6358,264.3,0.1324,88.73,55.2,3,0.2845,012/012314/012314973/dv/kplr012314973-20160209194854_dvr.pdf,6206,4.159,1.573,1.305,,11.684
6462863,CANDIDATE,54.31996151,161.239869,2454994.24,0,0.497,8.5858,1975,0.2906,89.36,291.3,4,0.3868,006/006462/006462863/dv/kplr006462863-20160209194854_dvr.pdf,6181,4.234,1.331,1.106,,12.205
10215869,FALSE POSITIVE,5.017239915,134.490136,2454967.49,0,0.191,4.36126,144640,0.0591,89.07,970.9,1,-1,010/010215/010215869/dv/kplr010215869-20160209194854_dvr.pdf,6519,4.41,1.079,1.091,,14.115
10155080,FALSE POSITIVE,1.930451347,131.770748,2454964.771,0,1.121,3.87956,53075,0.0327,72.7,602.3,1,0,010/010155/010155080/dv/kplr010155080-20160209194854_dvr.pdf,6154,4.399,1.168,1.247,,13.017
6665695,CANDIDATE,5.378868001,169.61512,2455002.615,0,0.758,2.7222,483.4,0.056,85.81,60.6,1,0.6092,006/006665/006665695/dv/kplr006665695-20160209194854_dvr.pdf,5077,4.567,0.774,0.806,,14.005
