kepler_id,success,output_file,status
9002278,True,lightkurve_data\kepler_9002278_lightkurve.csv,Skipped (already exists)
7899070,True,lightkurve_data\kepler_7899070_lightkurve.csv,Skipped (already exists)
9656397,True,lightkurve_data\kepler_9656397_lightkurve.csv,Skipped (already exists)
10166274,True,lightkurve_data\kepler_10166274_lightkurve.csv,Skipped (already exists)
8445775,False,,"Error: Error in reading Data product C:\Users\navid\.lightkurve\cache\mastDownload\Kepler\kplr008445775_lc_Q011111111111111111\kplr008445775-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8023317,True,lightkurve_data\kepler_8023317_lightkurve.csv,Downloaded
8296467,True,lightkurve_data\kepler_8296467_lightkurve.csv,Downloaded
10418224,True,lightkurve_data\kepler_10418224_lightkurve.csv,Downloaded
5560831,True,lightkurve_data\kepler_5560831_lightkurve.csv,Downloaded
4739194,True,lightkurve_data\kepler_4739194_lightkurve.csv,Downloaded
7970629,True,lightkurve_data\kepler_7970629_lightkurve.csv,Downloaded
10155080,True,lightkurve_data\kepler_10155080_lightkurve.csv,Downloaded
11242721,False,,Error: I/O operation on closed file.
8145789,True,lightkurve_data\kepler_8145789_lightkurve.csv,Downloaded
6606282,True,lightkurve_data\kepler_6606282_lightkurve.csv,Downloaded
7049486,True,lightkurve_data\kepler_7049486_lightkurve.csv,Downloaded
12252424,False,,Error: I/O operation on closed file.
10395543,True,lightkurve_data\kepler_10395543_lightkurve.csv,Downloaded
6462863,True,lightkurve_data\kepler_6462863_lightkurve.csv,Downloaded
10215869,True,lightkurve_data\kepler_10215869_lightkurve.csv,Downloaded
12314973,True,lightkurve_data\kepler_12314973_lightkurve.csv,Downloaded
7849854,True,lightkurve_data\kepler_7849854_lightkurve.csv,Downloaded
8957954,True,lightkurve_data\kepler_8957954_lightkurve.csv,Downloaded
6665695,False,,Error: I/O operation on closed file.
8822216,True,lightkurve_data\kepler_8822216_lightkurve.csv,Downloaded
11752906,True,lightkurve_data\kepler_11752906_lightkurve.csv,Downloaded
7825899,True,lightkurve_data\kepler_7825899_lightkurve.csv,Downloaded
11805075,False,,Error: I/O operation on closed file.
10004519,False,,Error: I/O operation on closed file.
10136549,True,lightkurve_data\kepler_10136549_lightkurve.csv,Downloaded
10873260,False,,Error: I/O operation on closed file.
6421188,True,lightkurve_data\kepler_6421188_lightkurve.csv,Downloaded
4847832,True,lightkurve_data\kepler_4847832_lightkurve.csv,Downloaded
6699562,True,lightkurve_data\kepler_6699562_lightkurve.csv,Downloaded
5816806,True,lightkurve_data\kepler_5816806_lightkurve.csv,Downloaded
4638237,True,lightkurve_data\kepler_4638237_lightkurve.csv,Downloaded
9279669,True,lightkurve_data\kepler_9279669_lightkurve.csv,Downloaded
9663113,True,lightkurve_data\kepler_9663113_lightkurve.csv,Downloaded
7199397,True,lightkurve_data\kepler_7199397_lightkurve.csv,Downloaded
9658118,True,lightkurve_data\kepler_9658118_lightkurve.csv,Downloaded
7440748,True,lightkurve_data\kepler_7440748_lightkurve.csv,Downloaded
9821078,True,lightkurve_data\kepler_9821078_lightkurve.csv,Downloaded
8094140,True,lightkurve_data\kepler_8094140_lightkurve.csv,Downloaded
9757613,False,,Error: I/O operation on closed file.
5437945,False,,Error: I/O operation on closed file.
9141746,True,lightkurve_data\kepler_9141746_lightkurve.csv,Downloaded
7304449,False,,Error: I/O operation on closed file.
8356054,False,,Error: I/O operation on closed file.
8561063,False,,Error: I/O operation on closed file.
8773948,True,lightkurve_data\kepler_8773948_lightkurve.csv,Downloaded
9735426,True,lightkurve_data\kepler_9735426_lightkurve.csv,Found existing file
10358759,True,lightkurve_data\kepler_10358759_lightkurve.csv,Found existing file
8733898,True,lightkurve_data\kepler_8733898_lightkurve.csv,Found existing file
11825057,True,lightkurve_data\kepler_11825057_lightkurve.csv,Found existing file
5982353,True,lightkurve_data\kepler_5982353_lightkurve.csv,Found existing file
10875245,True,lightkurve_data\kepler_10875245_lightkurve.csv,Found existing file
8285254,True,lightkurve_data\kepler_8285254_lightkurve.csv,Found existing file
10670112,True,lightkurve_data\kepler_10670112_lightkurve.csv,Found existing file
9529733,True,lightkurve_data\kepler_9529733_lightkurve.csv,Found existing file
10296163,True,lightkurve_data\kepler_10296163_lightkurve.csv,Found existing file
9282687,True,lightkurve_data\kepler_9282687_lightkurve.csv,Found existing file
9656543,True,lightkurve_data\kepler_9656543_lightkurve.csv,Found existing file
6587002,True,lightkurve_data\kepler_6587002_lightkurve.csv,Found existing file
6694186,True,lightkurve_data\kepler_6694186_lightkurve.csv,Found existing file
11401182,True,lightkurve_data\kepler_11401182_lightkurve.csv,Found existing file
9468384,True,lightkurve_data\kepler_9468384_lightkurve.csv,Found existing file
5016163,True,lightkurve_data\kepler_5016163_lightkurve.csv,Found existing file
7050989,True,lightkurve_data\kepler_7050989_lightkurve.csv,Found existing file
11959569,True,lightkurve_data\kepler_11959569_lightkurve.csv,Found existing file
4149450,True,lightkurve_data\kepler_4149450_lightkurve.csv,Found existing file
6587002,True,lightkurve_data\kepler_6587002_lightkurve.csv,Found existing file
5297298,True,lightkurve_data\kepler_5297298_lightkurve.csv,Found existing file
8939650,True,lightkurve_data\kepler_8939650_lightkurve.csv,Found existing file
12302391,True,lightkurve_data\kepler_12302391_lightkurve.csv,Found existing file
7211141,True,lightkurve_data\kepler_7211141_lightkurve.csv,Found existing file
11666881,True,lightkurve_data\kepler_11666881_lightkurve.csv,Found existing file
7009828,True,lightkurve_data\kepler_7009828_lightkurve.csv,Found existing file
12356914,True,lightkurve_data\kepler_12356914_lightkurve.csv,Found existing file
8565266,True,lightkurve_data\kepler_8565266_lightkurve.csv,Found existing file
10535807,True,lightkurve_data\kepler_10535807_lightkurve.csv,Found existing file
8971432,True,lightkurve_data\kepler_8971432_lightkurve.csv,Found existing file
10016874,True,lightkurve_data\kepler_10016874_lightkurve.csv,Found existing file
5621294,True,lightkurve_data\kepler_5621294_lightkurve.csv,Found existing file
8953059,True,lightkurve_data\kepler_8953059_lightkurve.csv,Found existing file
3648437,True,lightkurve_data\kepler_3648437_lightkurve.csv,Found existing file
6383821,True,lightkurve_data\kepler_6383821_lightkurve.csv,Found existing file
6266741,True,lightkurve_data\kepler_6266741_lightkurve.csv,Found existing file
9635529,True,lightkurve_data\kepler_9635529_lightkurve.csv,Found existing file
11547869,True,lightkurve_data\kepler_11547869_lightkurve.csv,Found existing file
5511081,True,lightkurve_data\kepler_5511081_lightkurve.csv,Found existing file
8355239,True,lightkurve_data\kepler_8355239_lightkurve.csv,Found existing file
8308347,True,lightkurve_data\kepler_8308347_lightkurve.csv,Found existing file
9024857,True,lightkurve_data\kepler_9024857_lightkurve.csv,Found existing file
8414159,True,lightkurve_data\kepler_8414159_lightkurve.csv,Found existing file
5347537,True,lightkurve_data\kepler_5347537_lightkurve.csv,Found existing file
8703129,True,lightkurve_data\kepler_8703129_lightkurve.csv,Found existing file
6677841,True,lightkurve_data\kepler_6677841_lightkurve.csv,Found existing file
4143755,True,lightkurve_data\kepler_4143755_lightkurve.csv,Found existing file
9357275,True,lightkurve_data\kepler_9357275_lightkurve.csv,Found existing file
8180020,True,lightkurve_data\kepler_8180020_lightkurve.csv,Found existing file
7369523,True,lightkurve_data\kepler_7369523_lightkurve.csv,Found existing file
9101279,True,lightkurve_data\kepler_9101279_lightkurve.csv,Found existing file
9467404,True,lightkurve_data\kepler_9467404_lightkurve.csv,Found existing file
6685609,True,lightkurve_data\kepler_6685609_lightkurve.csv,Found existing file
10454313,True,lightkurve_data\kepler_10454313_lightkurve.csv,Found existing file
10345862,True,lightkurve_data\kepler_10345862_lightkurve.csv,Found existing file
11122894,True,lightkurve_data\kepler_11122894_lightkurve.csv,Found existing file
9097120,True,lightkurve_data\kepler_9097120_lightkurve.csv,Found existing file
6946199,True,lightkurve_data\kepler_6946199_lightkurve.csv,Found existing file
6062088,True,lightkurve_data\kepler_6062088_lightkurve.csv,Found existing file
6784887,True,lightkurve_data\kepler_6784887_lightkurve.csv,Found existing file
3735629,True,lightkurve_data\kepler_3735629_lightkurve.csv,Found existing file
11499263,True,lightkurve_data\kepler_11499263_lightkurve.csv,Found existing file
5731312,True,lightkurve_data\kepler_5731312_lightkurve.csv,Found existing file
8949247,True,lightkurve_data\kepler_8949247_lightkurve.csv,Found existing file
11015108,True,lightkurve_data\kepler_11015108_lightkurve.csv,Found existing file
